Venue_Name,Bedroom,Minimum_Price,Maximum_Price,Guest_Include,Venue_Type,Dining_Capacity,Reciption_Capacity,Stablished
Duvale Priory,,Barn,130,130,16,42,Standard Room,
Anstey Hall,2006,Country House,200,200,22,60,Honeymoon Suite,
Mercure Southampton Centre Dolphin Hotel,Yes,100,150,99,Honeymoon Suite,01:00 AM,More than 50,
Pontlands Park,10:00 AM,£60,£112,200,250,35,Honeymoon Suite,
The Mermaid London,12:00 AM,£132,100,City Hotel,500,700,Changing Only,8
Temple Island,,Island,120,120,10:00 AM,11:00 PM,More than 50,
Cogges Manor Farm,Yes,Barn,200,200,10:00 AM,2012,More than 50,
Deer's Leap Retreat,9,"£6,500","£12,500",100,"Country, Lakeside & Barn",100,150,2014
Village Hotel Ashton,200,£42,£70,40,"£2,500","£3,500",80,10:00 AM
Whatton House ,Yes,Garden,150,150,02:00 PM,12:00 PM,Between 30 and 50,
New Frost Hall Foulsham,Yes,Village Hall,120,170,06:00 AM,12:00 PM,Between 10 and 30,
The George and Falcon,5,£25,£100,10,Pub,90,250,2010
Princes Risborough Golf Club,Changing Only,£10,£50,10,Golf Course,100,150,10
Bude Haven Hotel,"£8,000",£15,£45,£15,£45,45,"£4,000",10
Gunnersbury Park,Yes,Stately Home,180,250,09:00 AM,01:00 AM,2018,
College Court,123,£20,£60,50,Conference Centre,160,200,1900
Barton Court,12:00 AM,Country House,70,60,14,34,Honeymoon Suite,4
Glen Lodge,180,£8,£43,"£5,000","£11,250",Golf Course,120,
The Old Rectory Berkshire,09:00 AM,Country House,144,200,6,12,Honeymoon Suite,
Brook Hall Hotel,01:00 AM,150,250,25,50,Honeymoon Suite,11:00 AM,
Farrington Park,90,£30,£40,"£3,950","£3,950",60,Golf Course,More than 50
Hawkstone Hall & Gardens,70,"£13,995",80,Country House,250,700,37,Yes
North Mymms Park,09:00 AM,Country House,400,400,27,60,Honeymoon Suite,5
Hilton Reading,Standard Room,£59,£79,120,360,210,420,Yes
Braxted Park Weddings,More than 50,Country House,100,350,12,Honeymoon Suite,12:00 PM,
The Cider Barn,Between 30 and 50,Barn,140,200,09:00 AM,12:00 PM,2014,
Clayton Crown Hotel,152,£65,£90,60,City Hotel,330,330,
Hempstead House Hotel,Honeymoon Suite,£65,£90,20,150,200,34,
"Warbrook House, Hook",71,£79,£149,60,Country House,120,150,More than 50
Cornish Camels,12:00 PM,Barn,150,160,6,11,07:00 AM,
The Barn at Barons Hill Farm,Yes,Barn,170,3,7,Honeymoon Suite,More than 50,
Firle Place,10,Stately Home,250,400,08:00 AM,01:00 AM,More than 50,
Solton Manor,09:00 AM,Country House,200,200,12,24,Honeymoon Suite,8
Lincoln Country Weddings,40,"£4,995","£5,995",Farm,100,140,15,
Delamere Manor,08:00 AM,Country House,140,180,6,15,Honeymoon Suite,6
Crowne Plaza Reading,2,£54,£90,10,150,180,122,
Haughley Park Barn,,Barn,120,240,,,,
Old Downton Lodge,12:00 PM,Barn,60,60,10,20,Honeymoon Suite,
The Manor Rooms,180,£58,£63,"£8,500","£8,500",60,Barn,
Norton Park ,1900,£95,£120,Country House,200,340,166,
Swallows Nest Barn,More than 50,Barn,120,150,Changing Only,09:00 AM,12:00 AM,
Rectory Farm,,Garden,150,170,38,74,Honeymoon Suite,
Hadlow Manor Hotel,29,£65,£85,30,Country House,130,200,
Breadsall Priory Marriott Hotel & Country Club,,Country House,110,140,1900,Yes,,
Voewood,12:00 AM,Country House,150,300,15,41,Honeymoon Suite,
Hatfield Place,07:00 AM,Country House,200,250,12,28,Honeymoon Suite,5
Wonwood Barton,4,"£2,500","£5,000",120,Barn,120,120,Between 10 and 30
The Barn At Dinthill,Less than 10,Barn,120,120,09:00 AM,01:00 AM,2018,
Garrack Hotel,Less than 10,60,80,19,43,Honeymoon Suite,1900,
The Boathouse Sankey Marine,Between 10 and 30,Barn,120,150,09:00 AM,12:00 PM,2008,
Hallmark Hotel Bournemouth Carlton,160,£50,£200,40,"£3,500","£5,000",50,1900
Dodford Manor,More than 50,Barn,170,200,11:00 AM,12:00 AM,2012,
"Royal Holloway, University Of London",Standard Room,£100,£100,80,University,180,200,
Dunsley Hall Hotel,12:00 PM,80,150,11,22,Honeymoon Suite,12:00 AM,
Alton House Hotel,43,£70,£130,£70,£130,120,180,More than 50
Bath Assembly Rooms,8,Museum,500,500,1996,More than 50,Yes,
Hendall Manor Barns,2012,Barn,100,150,3,8,Honeymoon Suite,
The George In Rye,More than 50,120,150,34,68,Standard Room,2007,
Searcys St. Pancras Grand,"£10,880",£45,£65,£95,£136,75,"£4,750",07:00 AM
St Helens R.F.C (Totally Wicked Stadium),500,£42,£70,"£2,100","£5,640",Sporting Venue,350,Yes
Mercure St Helens Hotel ,250,£36,£45,30,"£1,499","£5,495",180,01:00 AM
Reigate Hill,6,"£4,500","£8,995",Golf Course,150,250,3,More than 50
Hotel du Vin,Between 30 and 50,85,110,41,82,Honeymoon Suite,2007,
Northcote Manor Hotel,16,£9,£150,2,Country House,90,180,1972
Flaxbourne Gardens,"£12,800",£25,£75,£60,£120,40,"£3,590",Changing Only
Fynn Valley Terrace,6,"£1,500","£6,700",100,Golf Course,120,170,1989
Petwood Hotel,53,£85,£125,"£4,000","£30,000",10,180,100
RHS Garden Wisley,Yes,Garden,150,150,03:00 PM,12:00 PM,Less than 10,
Historic Court Room and Guildhall,Yes,Town Hall,190,200,08:00 AM,11:00 PM,More than 50,
Tee&toast glamping,Garden,£44,£120,10,£800,"£10,000",100,Yes
Victoria Gallery & Museum,City Hotel,£65,£65,50,£65,£65,50,
"The Kennels, Goodwood",Between 10 and 30,Listed Building,72,30,91,Honeymoon Suite,2010,
The Granary Hotel & Restaurant,,200,200,1900,Yes,,,
The Barn at Brook End Green Farm,120,£25,£60,"£6,950","£12,000",100,Barn,4
The Raddle Inn,Yes,£22,£25,Pub,42,200,Honeymoon Suite,
"The White Swan Hotel, Warwickshire",3,£79,£89,30,70,100,41,More than 50
The Cooden Beach Hotel,More than 50,£71,£86,120,200,41,Honeymoon Suite,
Sign of the Angel,Standard Room,£27,£50,Pub,52,5,10,Yes
Widemouth Manor,85,£35,£150,"£2,000","£10,000",60,Pub,11:00 AM
The Montcalm London Marble Arch,700,£102,£102,£102,120,City Hotel,425,
No.4 Clifton Village,60,£45,£95,City Hotel,40,50,30,
Ghyll Manor Hotel & Restaurant,Country House,£99,£99,45,"£6,999","£6,999",65,Honeymoon Suite
The Master Builders,More than 50,"£4,000","£19,000",108,130,26,Honeymoon Suite,
Cider Barn - Dillington Estate,01:00 AM,Barn,115,180,17,37,11:00 AM,
HMS Warrior,,Cruise,240,240,05:00 PM,,,
Best Western Valley Hotel,"£4,850",£16,£38,£16,£39,10,"£1,995",Honeymoon Suite
"The Dairy, Waddesdon Manor",12:00 PM,Country House,130,160,16,Changing Only,08:00 AM,
River Mills Ballroom,,Warehouse,180,300,2018,Between 10 and 30,4,
Tapeley Park,08:00 AM,£15,£45,30,Country House,250,250,
The Centurion Hotel,240,£32,£45,"£6,250","£9,975",50,125,1985
Hipping Hall,42,£120,42,"£8,500","£17,500",42,Country House,More than 50
Hackthorn Hall,,Garden,08:00 AM,12:00 AM,2016,Between 10 and 30,3,
"The Great Barn, Ruislip",,Barn,215,1900,,,,
The Hepworth Wakefield,Yes,Museum,100,130,Changing Only,2011,Between 30 and 50,
Walton Park Hotel,90,"£1,950","£3,500",50,100,100,45,3
"The Colony HQ, Wilmslow",2017,Contemporary and unique,110,200,Changing Only,09:00 AM,01:00 AM,
Weybrook Park Golf Club,,Golf Course,80,150,Changing Only,Between 10 and 30,,
Event Northumbria,1900,£41,£50,80,Conference Centre,1000,1000,
The Montagu Arms Hotel,Honeymoon Suite,"£12,700","£24,000",50,100,120,24,
The Winding House,12:00 AM,"£11,190","£15,000",100,Country House,100,150,
Market Rasen Golf Club,Yes,Golf Course,60,150,Changing Only,1912,Less than 10,
Crown & Greyhound,60,£23,£80,£18,£79,10,Pub,09:00 AM
The Eltisley,12:00 PM,£50,£100,35,Pub,70,150,
Circus Restaurant and Bar,06:00 AM,"£10,000","£28,000",140,Pub,140,260,
The Claremont,,City Hotel,120,120,11,,,
"The Bull Hotel, Peterborough",,160,200,118,1900,Yes,,
The Tamburlaine Hotel,120,£95,£130,10,"£7,250",50,90,11:00 PM
170 Queen's Gate,Changing Only,£55,£79,25,City Hotel,68,120,
Chester Town Hall,,£61,£93,Town Hall,360,09:00 AM,05:00 PM,
The Bonded Warehouse,Between 30 and 50,Warehouse,130,300,09:00 AM,01:00 AM,2017,
"The Osborne Hotel, Torquay",150,£68,£120,"£4,756","£8,400",70,130,11:00 PM
Racks Bar and Kitchen,,Pub,55,110,12:00 PM,Yes,,
The Netherwood Hotel,75,£75,£100,2,180,200,33,Yes
Swarling Manor,,Country House,250,400,More than 50,Yes,,
Holiday Inn Runcorn,306,"£2,000","£3,500",50,350,350,153,3
Holiday Inn Newcastle - Gosforth Park,200,£41,£59,50,"£2,000","£4,300",300,
Dudley Zoo and Castle,Yes,Museum,150,150,06:00 PM,12:00 AM,Between 10 and 30,
"Swan, Shakespeare_�_s Globe",Pub,£135,£185,40,£135,£200,70,More than 50
Oaksey Park Weddings,Less than 10,Golf Course,400,600,08:00 AM,01:00 AM,1990,
Meadow View Park,2010,£25,£35,80,Sporting Venue,100,250,
"The Bell Inn, Lyndhurst",28,£60,£79,50,Pub,50,100,More than 50
Box End Park,More than 50,£39,£50,Pub,70,120,1900,
ZSL London Zoo ,Invalid date,£83,£150,40,Museum,260,300,
Langley Castle Hotel,65,£36,£65,Castle,120,120,27,
Castle Hill,,Country House,120,170,Changing Only,09:00 AM,12:00 PM,
"Wensum Valley Hotel, Golf & Country Club",Honeymoon Suite,£46,£53,Hotel,180,250,90,
Corse Lawn House Hotel,,£25,£49,Country House,100,100,Standard Room,
"Royal Botanic Gardens, Kew",More than 50,Garden,200,400,9:00 AM,12:00 PM,1900,
The Best Western George Hotel,70,£25,£65,£35,£75,20,City Hotel,10:00 AM
Aztec Hotel & Spa,,180,250,128,Honeymoon Suite,More than 50,,
Broadoaks Country House,More than 50,Country House,100,130,16,Honeymoon Suite,2007,
Grand Junction,Between 30 and 50,Place Of Worship,300,400,11:00 AM,11:00 PM,1900,
The Holt Hotel,Honeymoon Suite,£50,10,260,260,86,170,
Holiday Inn Northampton,Honeymoon Suite,"£2,499","£3,999",80,150,105,2,Yes
Herons Farm,,Barn,1000,1000,25,45,Standard Room,
WWT London Wetland Centre,"£929,500",£45,£55,£112,£120,50,"£893,500",09:00 AM
Ocean Kave,120,£49,£59,"£4,895","£5,895",4,Garden,11:00 AM
SK D'Grand Cabana,More than 50,City Hotel,700,700,Changing Only,07:00 AM,12:00 AM,
Leigh Park Country House Hotel,70,"£1,850","£6,495",50,120,120,38,
Boulevard Hotel,200,£40,£55,10,"£3,295","£4,245",50,2019
The Parsonage Country House Hotel & Spa,140,£54,£79,50,150,200,60,
Shearsby Bath,More than 50,Country House,350,350,Honeymoon Suite,10:00 AM,2005,
"The Swan Hotel, Stockton-on-Tees",Yes,"£1,945","£4,495",50,250,280,More than 50,
"Alexandra Hotel, Dorset",5:30 PM,75,100,23,45,Honeymoon Suite,12:00 PM,
Court Lodge Orlestone,09:00 AM,Garden,120,120,3,6,Changing Only,
Canford School Main Building,,School,130,180,Standard Room,,,
Tankersley Manor Hotel & Spa,98,"£2,149","£8,899",80,Country House,250,250,2
Fiddington Village Hall,Between 30 and 50,Village hall and Church.,80,100,07:00 AM,12:00 PM,1900,
Northwood House,More than 50,Country House,170,300,07:00 AM,01:00 AM,1838,
Cinnamon Kitchen & Anise Bar,12:00 PM,£75,£115,60,Pub,130,250,
The Cranleigh Boutique,Honeymoon Suite,£10,£35,70,300,24,56,Yes
Mount Pleasant Hotel ,150,£30,£40,10,"£4,500",50,100,12:00 PM
Todmorden Town Hall,More than 50,Town Hall,180,250,09:00 AM,02:00 AM,1900,
Denham Grove,,160,200,100,210,Honeymoon Suite,More than 50,
Kent Life,2010,£100,50,Barn,100,200,09:00 PM,
Blackfriars Priory,,Museum,150,230,2012,More than 50,Yes,
Karma St. Martin's,08:00 AM,£25,100,100,30,70,Honeymoon Suite,30
The Bristol,300,£45,£79,50,"£4,500",50,City Hotel,Yes
"Guildhall, Lichfield",More than 50,Town Hall,160,195,Changing Only,08:45 PM,12:00 AM,
Brickwall House,2011,Country House,300,300,19,46,Standard Room,
Elliot House Weddings,05:00 PM,£600,"£5,000",30,City Hotel,Changing Only,08:00 AM,
The Elephant Hotel,60,£25,£42,£98,£109,60,"£4,070",Honeymoon Suite
Village Hotel Cheadle,120,£35,£75,40,"£2,019","£5,500",50,06:00 AM
Wood Hall Hotel & Spa,12:00 AM,100,100,44,2,Honeymoon Suite,11:00 AM,
Sennowe Park,14,"£21,400",100,Stately Home,100,1500,9,
"The Green Dragon Inn, Cheltenham",9,£16,£28,25,Pub,70,100,Yes
Deckerdence - Unique Mobile Venue,7,Bus Centred Marquee,150,300,02:00 AM,Between 30 and 50,Yes,
Winslowe House,,Country House,100,100,Yes,,,
Whaplode Manor,6,"£4,150","£5,965",50,Barn,90,250,Yes
Weddings at The Stack,3,"£3,450","£6,250",40,Garden,40,40,
"The Castle Hotel, Tamworth","£3,000",£3,£17,£19,£34,20,£999,80
Crowhurst Park,09:00 AM,"£2,645","£4,695",50,Country House,70,120,
Copthorne Hotel Merry Hill Dudley,Honeymoon Suite,"£4,800","£5,500",40,360,400,138,
Handsworth Old Rectory Community Centre,01:00 AM,"£1,670",55,Country House,130,200,09:00 AM,
Mere Court Hotel,Honeymoon Suite,"£4,000",Country House,150,220,35,75,
Ashford War Memorial Hall,100,£5,£5,£500,£600,120,Village Hall,More than 50
The Kassam Conference and Events Centre,More than 50,Sporting Venue,450,600,09:00 AM,09:00 PM,2001,
"Colston Hall, Buckinghamshire",09:00 AM,£60,£150,40,Country House,150,150,
Birchwood Park Golf Centre,09:00 AM,£60,£85,45,Golf Course,120,200,
Meols Hall Tithe Barn,More than 50,Barn,120,150,12:00 PM,12:00 AM,1900,
Weston Hall,,"£3,500",40,Country House,110,150,8,
The Belfry,,£117,60,270,270,319,Yes,
Ormesby Hall,1,Country House,150,200,Changing Only,Less than 10,Yes,
The Mill @ Stone Wedding Venue ,8,"£6,000","£10,500",50,Warehouse,84,180,Yes
Sheffield Register Office,56,£3,£7,£163,£579,Town Hall,56,
"Coverwood Lakes, Gardens and Farm",,Garden,150,150,,,,
Bush Hall,More than 50,City Hotel,200,300,12:00 PM,01:00 AM,2001,
West Horsley Place,2016,Country House,120,120,Changing Only,09:00 AM,12:00 PM,
Queen's Court Hotel,120,£28,£28,"£1,600","£4,450",60,70,Yes
Doubletree by Hilton Cambridge,150,£60,£128,40,"£2,018",20,120,
The Zetter Townhouse Hotel,More than 50,30,120,13,26,Honeymoon Suite,2011,
Hellidon Lakes Hotel,1900,£75,£100,110,Honeymoon Suite,07:00 AM,01:00 AM,
"The George Hotel, Cumbria",Honeymoon Suite,£25,£40,100,120,35,60,
Tonbridge School,,150,250,Changing Only,09:00 AM,12:00 PM,1900,
Manchester Art Gallery,1900,Museum,120,300,Changing Only,06:00 PM,11:00 PM,
The Regency Suite,,City Hotel,90,100,11:00 AM,12:00 PM,,
Minstead Lodge,12:00 PM,"£4,500","£4,500",Country House,75,110,08:00 AM,
Langdon Court Country House Hotel,37,"£5,500",50,Country House,70,150,19,30
Lace Market Hotel,"£11,000",£25,£50,£100,£170,30,"£3,000",78
Cider Mill Barns ,,Barn,120,16,Honeymoon Suite,1900,Between 10 and 30,
The Anchor Inn and Boating ,Standard Room,£15,£25,15,Pub,160,250,
Reigate Manor Hotel,180,£61,£65,60,£71,£75,60,08:00 AM
The Tabernacle,,City Hotel,150,300,09:00 AM,11:00 PM,More than 50,
Highcliffe Castle,Castle,£71,£72,70,"£10,495","£11,300",70,
Drake and Morgan at King's Cross,1900,£80,£120,Pub,500,1000,08:00 AM,
The Bodleian Library,4,University,120,200,1488,More than 50,Yes,
Singleton Lodge Country House Hotel,80,£67,£69,"£2,000","£6,000",50,Country House,More than 50
Holbrook Manor,150,£95,£125,£95,£125,"£5,999",Country House,10:00 AM
The Otherist,1900,£80,£120,10,Pub,140,350,
Donington Manor Hotel,4,£35,£45,50,100,150,32,
The Sipping Room,1900,£80,£120,Pub,200,500,08:00 AM,
The Folly,,£80,£120,Pub,550,1100,08:00 AM,
"House Of Commons, Palace Of Westminster",,Museum,170,200,Between 10 and 30,8,,
Blaisdon Hall,150,£35,£60,"£1,200","£4,500",150,Country House,12:00 AM
High Billinghurst Farm,2017,Barn,165,250,2,6,Honeymoon Suite,
"Priory Hotel, Bury St Edmunds",,£40,£65,50,90,Honeymoon Suite,,
Hilton London Watford,400,£45,£60,10,350,375,200,More than 50
St Leonards Hotel,70,£50,£80,50,"£2,500","£4,000",50,09:00 AM
The Jockey Club Rooms,1752,Club,300,200,21,Honeymoon Suite,11:00 AM,
The Maids Head Hotel,84,"£2,020","£6,700",50,City Hotel,120,175,Yes
Mercure George Washington Hotel Golf and Spa,,Golf Course,120,150,1:00 AM,1900,,
Donington Park Farmhouse Hotel,,Barn,160,300,,,,
The Red Lion Hotel,80,£30,£70,20,"£3,000","£6,000",60,11:00 AM
Malt House Barn,,Barn,150,Changing Only,2020,,,
Itchenor Sailing Club,12:00 PM,Waterside,100,100,14,30,Honeymoon Suite,
Royal West of England Academy,Between 10 and 30,Museum,150,300,06:00 PM,01:00 AM,1858,
The Listing,1900,£80,£120,Pub,150,300,08:00 AM,
Hilton Bracknell,200,£49,£64,10,"£3,500",50,180,More than 50
The Hartnoll Hotel,200,£28,£88,40,"£3,900","£7,300",100,Yes
Boston Guildhall,5,Museum,100,100,2008,More than 50,Yes,
Woolhanger Manor,09:00 AM,Country House,120,150,6,12,Standard Room,2
The Willows,2014,City Hotel,800,800,Changing Only,09:00 AM,12:00 AM,
Findon Manor Hotel,11,£110,"£7,695",50,Country House,300,300,Between 30 and 50
Brome Grange Hotel,Barn,£40,£65,50,"£1,000","£1,500",50,Honeymoon Suite
The View at Hencote,01:00 AM,Restaurant and Vineyard,150,200,32,54,Honeymoon Suite,
Holiday Inn Southampton,200,£32,£42,"£2,195","£3,995",80,120,12:00 PM
The Forest Hotel,140,£57,£84,"£3,300","£4,600",50,City Hotel,08:00 AM
Hotel Cromwell,Honeymoon Suite,"£5,995","£7,995",80,150,200,77,
Overstone Park Resort,Honeymoon Suite,£20,£100,Golf Course,120,200,31,
Macdonald Bath Spa ,120,£100,£100,60,"£6,000","£15,000",60,11:00 AM
The Five Arrows Hotel,,60,100,16,11:00 AM,11:00 AM,,
Boundary Oak School,12:00 PM,"£2,000","£2,000",200,School,200,200,
The Shaven Crown,Honeymoon Suite,£75,30,40,100,7,14,15
The Stone Trough Inn,09:00 AM,£20,£50,10,Pub,70,150,15
Hatton Court Hotel,60,£30,£75,"£3,495","£18,000",60,Country House,1913
The Fisher Theatre,More than 50,Theatre,90,150,Changing Only,10:00 AM,2006,
Bristol Museum and Art Gallery,Yes,Museum,240,400,06:00 PM,01:00 AM,1900,
The Crown and Mitre Hotel,250,£28,£37,"£4,500","£4,500",100,250,01:00 AM
Weetwood Hall,114,£115,£155,30,City Hotel,130,200,
Pencarrow House,,Country House,250,300,Honeymoon Suite,Yes,,
Old Police Cells Museum,,Museum,24,24,Yes,,,
The Barns Hotel,More than 50,Barn,90,120,49,Honeymoon Suite,08:00 PM,
Tamworth Castle,,Castle,64,64,Yes,,,
West Hove Golf Club,04:00 PM,"£3,995","£6,295",Golf Course,100,150,Changing Only,
Norton Grounds,24,"£9,500","£14,000","Farm Estate, marquee/barn",250,250,12,3
Mill Green Golf Club,Changing Only,£19,£67,50,Golf Course,120,150,Yes
Mint Leaf Lounge,09:00 AM,£40,£100,1,Pub,220,500,
Mercure Tunbridge Wells,1991,City Hotel,150,150,84,168,Honeymoon Suite,
Skinners' Hall,03:00 PM,£88,100,Country House,170,300,Changing Only,
Birmingham Botanical Gardens,5,£45,Garden,10:00 AM,01:00 AM,More than 50,Yes,
The Blue Pigeons,12,"£6,930","£8,814",40,50,120,6,
Kimbridge Barn ,,Barn,100,150,08:00 AM,1900,,
Oddfellows Chester,36,"£3,500","£8,500",60,60,120,18,More than 50
LSO St Luke's,,City Hotel,220,450,12:00 PM,2003,Yes,
Novotel Manchester West,9:00 am,£40,£50,60,120,180,119,
The Quayside Exchange,More than 50,Bespoke Event Venue,250,250,09:00 AM,01:00 AM,2009,
Burrow Farm Gardens,Between 10 and 30,Garden,150,200,08:00 AM,11:00 PM,2015,
National Space Centre,2001,"£1,100",Museum,280,300,02:00 PM,01:00 AM,
Rosewood London,01:00 AM,£200,280,555,306,Honeymoon Suite,08:00 AM,
"The Park House Hotel, Shropshire",Honeymoon Suite,"£2,595",40,City Hotel,120,200,54,
Burrows Lea Country House,Yes,Country House,150,6,14,Honeymoon Suite,Between 10 and 30,
Vanstone Park,Between 30 and 50,"£8,900",120,Garden,12:00 AM,11:00 PM,2016,
Sir Christopher Wren Hotel and Spa,300,£135,"£3,995",50,110,90,138,More than 50
Greenlands at Henley,100,£99,£140,80,Country House,130,130,1990
The Swettenham Arms,12:00 AM,£60,£95,50,Pub,120,150,
Elizabeth Park Centre,Yes,100,150,09:00 AM,12:00 AM,1996,More than 50,
Ipswich and Suffolk Club,66,£35,£45,£35,£45,20,Exclusive Member's Club,1885
Allenburys Sports & Social Club,12:00 PM,"£1,990","£4,999",80,144,200,10:00 AM,
Thorn House & Garden,3,£33,"£5,000","£30,000",Garden,130,130,2011
Stanmer House,12:00 AM,£55,20,Country House,120,300,09:00 PM,
Great Tangley Manor,12:00 PM,Country House,16,16,5,12,Honeymoon Suite,
The Whitehall Hotel and Restaurant,Yes,120,250,15,Honeymoon Suite,2002,More than 50,
The Norfolk Royale Hotel,Standard Room,£13,£33,100,150,95,190,
The Bull's Head,11:00 AM,£60,£80,40,Pub,45,80,
Addington Palace,Standard Room,£109,£144,Country House,800,13,34,
Tregenna Castle Hotel,12:00 PM,£82,Castle,250,160,80,Standard Room,
St Ermin's Hotel,Honeymoon Suite,£109,80,150,200,331,800,
The Crown and Thistle,18,£85,£105,20,City Hotel,80,100,
Boxted Hall,,Country House,84,150,10,24,Between 30 and 50,
Bartholomew Barn,,Barn,100,100,Changing Only,Yes,,
Cathedral Quarter Hotel,2008,City Hotel,100,150,38,74,Honeymoon Suite,
Sheraton Grand London Park Lane,Honeymoon Suite,£130,10,500,1200,305,610,
Knebworth House,Yes,£110,50,Country House,200,250,More than 50,
Somerset County Cricket Club,400,£12,£23,£40,£95,120,Sporting Venue,
Barbacoa,Standard Room,"£1,500","£2,018",100,"Bar, Grill & Function Roo",150,200,
Almonry Barn,,Barn,100,100,2012,More than 50,Yes,
Warley Park Golf Club,12:00 PM,"£2,999","£9,999",Golf Course,120,180,09:00 AM,
Drakestone House,12:00 PM,Country House,100,8,19,Honeymoon Suite,09:00 AM,
Robin Hood Weddings,03:00 AM,Garden,100,150,25,50,09:00 AM,
Woodhall Manor,Yes,Country House,130,200,14,09:00 AM,More than 50,
Rye Town Hall,4,Town Hall,09:00 AM,06:00 PM,2000,More than 50,Yes,
Castle Green,11:00 PM,"£1,500","£2,500",City Hotel,250,500,08:00 AM,
The Moretons,10:00 AM,Garden,100,120,13,26,Standard Room,9
The Airman Hotel,57,£7,£33,30,120,180,21,15
Leeford Place Hotel,09:00 AM,£44,120,200,18,44,Honeymoon Suite,
Trafford Hall Hotel,100,£65,£80,50,"£3,495","£4,495",50,03:00 PM
The Box Tree Restaurant,Between 30 and 50,£38,2,Pub,50,30,10:00 AM,
Roast Restaurant,,Pub,128,200,Between 30 and 50,Yes,2,
"The Blue Keys Hotel, Bar & Restaurant",Honeymoon Suite,£6,£18,20,26,100,12,
Best Western Plus Pinewood on Wilmslow,Honeymoon Suite,£70,40,120,150,89,4,Yes
St Michael's Manor (Hotel),,Country House,140,140,30,Honeymoon Suite,,
Grange Farm,Yes,Lakeside Marquee Venue,160,250,01:00 AM,2013,More than 50,
The Garden Rooms at Chilford Hall,Yes,Garden,174,250,08:00 AM,12:00 PM,More than 50,
Penwarne Farm Campsite,120,£10,£35,"£5,950","£6,950",110,120,
De Rougemont Manor Hotel & Suites,,Honeymoon Suite,More than 50,Yes,140,,,
Hilles House,09:00 AM,"£8,500","£15,000",Garden,250,250,Changing Only,7
"The Bay Tree Hotel, Burford",More than 50,90,90,21,42,Honeymoon Suite,1998,
Emirates Riverside,Yes,Sporting Venue,220,250,07:00 AM,01:00 AM,More than 50,
York Barn at Villa Farm,Honeymoon Suite,"£8,495",Barn,150,220,38,111,20
DoubleTree by Hilton Lincoln,2011,"£2,500","£4,700",350,400,160,Honeymoon Suite,
Hilton Bournemouth,Yes,£48,£75,50,Honeymoon Suite,2015,Between 10 and 30,
The Rufus Centre,2010,Conference Centre,200,200,Changing Only,12:00 PM,12:00 AM,
Rayleigh Windmill,2009,£200,£460,20,Museum,09:00 AM,07:00 PM,
Plumpton Racecourse,12:00 PM,Sporting Venue,300,300,300,Changing Only,09:00 AM,
Le Meridien Piccadilly,Honeymoon Suite,£105,70,150,200,280,4,
The Auction House,2007,£75,70,Banqueting Hall,600,700,Standard Room,
The Venue Ashbourne,Between 30 and 50,Conference Centre,100,220,Changing Only,12:00 PM,01:30 AM,
Hexton Manor,More than 50,£40,"£12,000",100,Country House,200,250,
The Longhouse at Mill On The Brue,11:00 AM,Contemporary ,140,200,15,55,Honeymoon Suite,10
Leicester Warren Hall,120,£30,£75,40,"£1,995","£6,995",Barn,2008
The Village Hotel Hull,Standard Room,£30,£60,10,120,200,116,Yes
Oaksey Village Hall,,Town Hall,Yes,,,,,
Grange Court Hotel,28,£40,£55,80,80,100,12,Less than 10
The Lenchford Inn,9,£16,£28,30,Pub,80,100,Between 10 and 30
Campanile Bradford,Standard Room,"£3,495",50,80,180,130,300,
Oakwell Events ,180,£10,£40,£30,"£2,350",50,Sporting Venue,1887
"Kings College, London",12:00 PM,£89,£109,70,City Hotel,120,200,
Hoxton Hall,9,Theatre/Music Hall ,100,180,1863,Between 10 and 30,Yes,
Esseborne Manor Hotel,17,£94,£138,50,Country House,80,120,Yes
Shelford Rugby Club,Yes,Rugby Club,200,400,08:00 AM,12:00 PM,More than 50,
Ferrari's Country House Hotel,Honeymoon Suite,£40,Country House,180,250,22,2,Yes
Priory Cottages,03:00 PM,Barn,150,150,17,29,Standard Room,
Woodford War Memorial and Community Centre,,Community Centre,130,200,Between 30 and 50,Yes,3,
St Mary's Guildhall,,Guildhall,120,180,More than 50,Yes,,
Folkington Manor,Between 10 and 30,140,1000,Changing Only,09:00 AM,12:00 PM,2013,
Clovelly Estate,,£38,£38,Country House,50,60,,
"The Guildhall, Salisbury",Between 10 and 30,£700,"£3,200",120,120,120,1795,
River Bourne Community Farm,Between 10 and 30,Barn,120,200,09:00 AM,12:00 PM,2010,
Fiesta Fields,07:00 AM,"£5,450","£10,000",150,Garden,200,200,3
The Ivory Suite London,More than 50,City Hotel,100,100,10:00 AM,12:00 PM,2013,
Lordswood Leisure Centre,Yes,Leisure Centre,500,500,12:00 PM,1982,More than 50,
Pinewood Park,120,"£1,999","£8,999",118,Barn,60,40,Between 30 and 50
Adelphi Hotel Liverpool,500,£18,80,"£1,499","£2,599",100,500,More than 50
Eyam Hall,1995,Stately Home,200,250,Changing Only,10:00 AM,12:00 PM,
Brogdale Collections,,Garden,60,130,09:00 AM,,,
Cain Manor,11:00 AM,Barn,123,170,13,26,Honeymoon Suite,
ABode Canterbury,Honeymoon Suite,"£4,425",50,City Hotel,100,150,72,
Hartwell House Hotel & Spa,Honeymoon Suite,"£9,800",60,Country House,72,90,48,Yes
